#name	Subject1
Hs.227750	-0.13
Hs.159546	0.408
Hs.8375	0.193
Hs.77432	-0.0406666666666667
Hs.311054	0.225
Hs.180312	-0.045
Hs.435961	-0.126
Hs.424907	-0.362
Hs.3454	-0.18
Hs.387982	0.227
Hs.15159	-0.268
Hs.311106	0.055
Hs.140978	-0.039
Hs.191842	0.503
Hs.90073	0.084
Hs.439523	0.0653333333333333
Hs.37106	-0.107
Hs.84190	0.398
Hs.408507	-0.2
Hs.9194	0.052
Hs.29956	0.298
Hs.31293	-0.268
Hs.79092	0.196
Hs.2499	0.399
Hs.437655	-0.117
Hs.161279	-0.59
Hs.512716	0.13
Hs.435982	-0.386
Hs.438889	0.024
Hs.194774	-0.232
Hs.153227	-0.278
Hs.348392	-0.091
Hs.416755	0.057
